"Height"	"Weight"
56.3	85
62.3	105
63.3	108
59	92
62.5	112.5
62.5	112
59	104
56.5	69
62	94.5
53.8	68.5
61.5	104
61.5	103.5
64.5	123.5
58.3	93
51.3	50.5
58.8	89
65.3	107
59.5	78.5
61.3	115
63.3	114
61.8	85
53.5	81
58	83.5
61.3	112
63.3	101
61.5	103.5
60.8	93.5
59	112
65.5	140
56.3	83.5
64.3	90
58	84
64.3	110.5
57.5	96
57.8	95
61.5	121
62.3	99.5
61.8	142.5
65.3	118
58.3	104.5
62.8	102.5
59.3	89.5
61.5	95
62	98.5
61.3	94
62.3	108
52.8	63.5
59.8	84.5
59.5	93.5
61.3	112
63.5	148.5
64.8	112
60	109
59	91.5
55.8	75
57.8	84
61.3	107
62.3	92.5
64.3	109.5
55.5	84
64.5	102.5
60	106
56.3	77
58.3	111.5
60	114
54.5	75
55.8	73.5
62.8	93.5
60.5	105
63.3	113.5
66.8	140
60	77
60.5	84.5
64.3	113.5
58.3	77.5
66.5	117.5
65.3	98
60.5	112
59.5	101
59	95
61.3	81
61.5	91
64.8	142
56.8	98.5
66.5	112
61.5	116.5
63	98.5
57	83.5
65.5	133
62	91.5
56	72.5
61.3	106.5
55.5	67
61	122.5
54.5	74
66	144.5
56.5	84
56	72.5
51.5	64
62	116
63	84
61	93.5
64	111.5
61	92
59.8	115
61.3	85
63.3	108
63.5	108
61.5	85
60.3	86
61.3	110.5
64.8	98
60.5	105
57.3	76.5
59.5	84
60.8	128
60.5	87
67	128
64.8	111
50.5	79
57.5	90
60.5	84
61.8	112
61.3	93
66.3	117
53.3	84
59	99.5
57.8	95
60	84
68.3	134
67.5	171.5
63.8	98.5
65	118.5
59.5	94.5
66	105
61.8	104
57.3	83
66	105.5
56.5	84
58.3	86
61	81
62.8	94
59.3	78.5
67.3	119.5
66.3	133
64.5	119
60.5	95
66	112
57.5	75
64	92
68	112
63.5	98.5
69	112.5
63.8	112.5
66	108
63.5	108
59.5	88
66.3	106
57	92
60	117.5
57	84
67.3	112
62	100
65	112
59.5	84
67.8	127.5
58	80.5
60	93.5
58.5	86.5
58.3	92.5
61.5	108.5
65	121
66.5	112
68.5	114
57	84
61.5	81
66.5	111.5
52.5	81
55	70
71	140
66.5	117
58.8	84
66.3	112
65.8	150.5
71	147
59.5	105
69.8	119.5
62.5	84
56.5	91
57.5	101
65.3	117.5
67.3	121
67	133
66	112
61.8	91.5
60	105
63	111
60.5	112
65.5	114
62	91
59	98
61.8	118
63.3	115.5
66	112
61.8	112
63	91
57.5	85
63	112
56	87.5
60.5	118
56.8	83.5
64	116
60	89
69.5	171.5
63.3	112
56.3	72
72	150
65.3	134.5
60.8	97
55	71.5
55	73.5
66.5	112
56.8	75
64.8	128
64.5	98
58	84
62.8	99
63.8	112
57.8	79.5
57.3	80.5
63.5	102.5
55	76
66.5	112
65	114
61.5	140
62	107.5
59.3	87
